line,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
25.6,-30354400.0,-1.34653e-05,0.00145856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.4,0.0,0.0,0.0,0.0,0.0,-1874250000.0,0.0,0.0,16044100.0,9436400.0
30.3,0.0,0.0,0.0,0.0,0.0,-1058220000.0,0.0,0.0,10070500.0,7176960.0
30.4,213752000.0,-0.000174742,0.0199727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.8,0.0,0.0,0.0,0.0,0.0,287050000.0,0.0,0.0,2795810.0,1721420.0
46.5,0.0,0.0,0.0,0.0,0.0,58912200.0,0.0,0.0,844715.0,520445.0
55.4,-79756200.0,-1.56297e-05,0.00169443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.4,-2405030000.0,-0.000118646,0.0135717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,0.0,0.0,0.0,0.0,0.0,-241248000.0,0.0,0.0,5224890.0,2801060.0
63.0,-335139000.0,-5.35513e-05,0.0061247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.3,-23382800.0,-1.03695e-05,0.00112356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.5,-97018200.0,-9.18718e-06,0.000995058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,-33993900.0,0.0,0.0,1759600.0,1127210.0
97.7,-3429460000.0,-0.000298656,0.032349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.6,-8493290000.0,-0.000415799,0.0475659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.2,-5709320000.0,-0.000289205,0.031332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
